x,y,time_real
185,420,0.26666666666666666
188,417,0.2708333333333333
192,413,0.275
195,409,0.2791666666666667
199,404,0.2833333333333333
203,400,0.2875
207,395,0.2916666666666667
210,391,0.29583333333333334
215,386,0.3
218,381,0.30416666666666664
222,376,0.30833333333333335
226,372,0.3125
230,367,0.31666666666666665
233,362,0.3208333333333333
236,357,0.325
240,352,0.32916666666666666
243,346,0.3333333333333333
248,341,0.3375
251,335,0.3416666666666667
255,330,0.3458333333333333
258,324,0.35
262,318,0.3541666666666667
265,312,0.35833333333333334
269,306,0.3625
273,300,0.36666666666666664
276,295,0.37083333333333335
279,297,0.375
281,302,0.37916666666666665
284,306,0.3833333333333333
286,310,0.3875
288,314,0.39166666666666666
291,318,0.3958333333333333
293,322,0.4
296,326,0.4041666666666667
298,330,0.4083333333333333
300,334,0.4125
303,337,0.4166666666666667
305,340,0.42083333333333334
307,344,0.425
310,347,0.42916666666666664
312,350,0.43333333333333335
314,353,0.4375
316,356,0.44166666666666665
319,358,0.4458333333333333
321,361,0.45
323,364,0.45416666666666666
326,366,0.4583333333333333
328,369,0.46249999999999997
330,371,0.4666666666666667
332,373,0.4708333333333333
335,375,0.475
337,377,0.4791666666666667
339,379,0.48333333333333334
341,381,0.4875
343,383,0.49166666666666664
346,385,0.49583333333333335
348,386,0.5
350,387,0.5041666666666667
353,389,0.5083333333333333
355,390,0.5125
357,391,0.5166666666666666
359,392,0.5208333333333334
361,393,0.525
363,394,0.5291666666666667
366,395,0.5333333333333333
368,395,0.5375
370,396,0.5416666666666666
373,396,0.5458333333333333
375,396,0.55
377,397,0.5541666666666667
379,397,0.5583333333333333
381,397,0.5625
383,397,0.5666666666666667
385,397,0.5708333333333333
387,397,0.575
389,396,0.5791666666666666
391,396,0.5833333333333334
394,396,0.5875
396,395,0.5916666666666667
401,394,0.5958333333333333
404,393,0.6
407,392,0.6041666666666666
400,393,0.6083333333333333
406,391,0.6125
404,390,0.6166666666666667
410,389,0.6208333333333333
412,388,0.625
414,386,0.6291666666666667
417,385,0.6333333333333333
419,384,0.6375
421,382,0.6416666666666666
423,380,0.6458333333333334
426,378,0.65
427,376,0.6541666666666667
429,374,0.6583333333333333
432,372,0.6625
433,371,0.6666666666666666
436,368,0.6708333333333333
437,366,0.675
440,364,0.6791666666666667
441,361,0.6833333333333333
444,358,0.6875
446,355,0.6916666666666667
448,353,0.6958333333333333
449,350,0.7
450,349,0.7041666666666666
