time_real,x_smooth_cm,y_smooth_cm,vx,vy,ax,ay,v_total,a_total
0.2666666666666666,-1.1478517893221782,1.158718214286023,176.94090779225883,-99.33952652816667,299.2161502753997,1251.6406029302327,202.91975355097634,1286.908894789832
0.2708333333333333,-0.583026560245497,0.5749578860030233,179.75929612126362,-95.22546308227845,264.326991792277,1264.9188240627075,203.4239252429431,1292.241614427479
0.275,0.0,0.0,182.82044876195675,-91.04668379223433,222.14184893513504,1277.1927831276503,204.23715410053666,1296.3673886370614
0.2791666666666667,0.5968391540405329,-0.5695524152238256,185.62643987884073,-86.64970824244877,182.45598404161436,1285.8741020263362,204.8544535044195,1298.75416933869
0.2833333333333333,1.2114773845601607,-1.1287141756857753,188.45401625979443,-82.12625716019623,139.41908480003974,1292.30976515361,205.57149208873673,1299.8085283294072
0.2875,1.8434985660178393,-1.6768957702025598,190.97750806931862,-77.48365435499952,99.15298244158906,1296.6314412886686,206.09736844649836,1300.417013294348
0.2916666666666667,2.492472702020896,-2.213514623016499,193.36191407797722,-72.72909047621162,59.57334740781173,1297.7554835951855,206.5873917193303,1299.1221185565064
0.2958333333333333,3.1579559253255267,-2.737995093795854,195.60370554118157,-67.83115303898111,21.13130505974976,1294.5592559380411,207.0310965629051,1294.7317093469144
0.3,3.839490497836562,-3.2497684776344076,197.66088374031597,-62.838831671013125,-15.753338514282584,1287.8312369873663,207.40912160939456,1287.9275843908133
0.3041666666666666,4.53259752164629,-3.7482730050516215,199.61045520352047,-57.758850961055266,-51.79939258183691,1277.142033122441,207.79898626051585,1278.192062970182
0.3083333333333333,5.2411733189047585,-4.228946553031549,201.40675930741756,-52.59780233767709,-86.50907245717816,1262.461603408149,208.1615034185461,1265.4221112724701
0.3125,5.9647116035370376,-4.695623024893129,203.04626730741728,-47.32367409525207,-119.7852244779582,1243.0161700575063,208.4881694421743,1248.7744788502312
0.3166666666666666,6.698684929655548,-5.143747233046267,204.52545045893305,-41.98485664070394,-151.56201425459528,1219.5731191691725,208.79029688318838,1228.954692885354
0.3208333333333333,7.446941071430657,-5.573152727274355,205.87924999140105,-36.58747534200136,-182.1039298493994,1191.7164796678633,209.1050188994118,1205.5496709711133
0.325,8.208925194807538,-5.987680346322079,207.06207186153088,-31.099052432909147,-211.2677974442184,1159.024527958767,209.38446137623157,1178.1222087062845
0.3291666666666666,8.984068594879881,-6.382781838024903,208.03198393079592,-25.5675122597479,-237.8344664104687,1121.842926545774,209.5972423991673,1146.7766937174556
0.3333333333333333,9.771788695890185,-6.758297687592194,208.86605930741908,-20.0369841039014,-263.2351635948761,1081.250208914585,209.82495433715766,1112.8318676379893
0.3375,10.571489051229566,-7.114068380232915,209.4802339740857,-14.432458839830975,-285.8034480208594,1035.2611166756135,209.97681846813734,1073.9875188292694
0.3416666666666667,11.382559343437588,-7.4499344011565904,209.95158103902105,-8.80146133333568,-307.3673425455466,984.6091599795019,210.13598478696318,1031.469767457608
